Part Number
CF12-1-AB
CF12-1M-AB
CF12-1MR-AB
CF12-1MUU-AB
CF12-1MUUR-AB
CF12-1R-AB
CF12-1UU-AB
CF12-1UUR-AB
CF12-1V-AB
CF12-1VUU-AB
CF12-1VUUR-AB
CF12-AB
CF12M-AB
CF12MR-AB
CF12MUU-AB
CF12MUUR-AB
CF12R-AB
CF12UU-AB
CF12UUR-AB
CF12V-AB
CF12VMUU-AB
CF12VUU-AB
CF12VUUR-AB
CF16-AB
CF16M-AB
CF16MR-AB
CF16MUU-AB
CF16MUUR-AB
CF16R-AB
CF16UU-AB
CF16UUR-AB
CF16VMUU-AB
CF16VR-AB
CF16VUU-AB
CF16VUUR-AB
CF18-AB
CF18M-AB
CF18MUU-AB
CF18MUUR-AB
CF18R-AB
CF18UU-AB
CF18UUR-AB
CF18VUU-AB
CF18VUUR-AB
CF20-1-AB
CF20-1MUU-AB
CF20-1R-AB
CF20-1UU-AB
CF20-1UUR-AB
CF20-1VMUUR-AB
CF20-1VUU-AB
CF20-1VUUR-AB
CF20-AB
CF20M-AB
CF20MR-AB
CF20MUU-AB
CF20MUUR-AB
CF20R-AB
CF20UU-AB
CF20UUR-AB
